code,name,date,open,close,high,low,volume,amount,adj_close,raw_open,raw_close,raw_high,raw_low,raw_adj_close,amplitude_pct,pct_change,change,turnover_pct
159530,机器人ETF易方达,2026-01-05,1.575,1.602,1.603,1.57,820868693.0,1307124087.395,1.602,,,,,,,1.008827238335436,0.016000000000000014,0.0
159530,机器人ETF易方达,2026-01-06,1.607,1.615,1.62,1.594,728022497.0,1170626529.991,1.615,,,,,,,0.811485642946311,0.0129999999999999,0.0
159530,机器人ETF易方达,2026-01-07,1.604,1.596,1.62,1.584,646050842.0,1035191845.252,1.596,,,,,,,-1.1764705882352884,-0.018999999999999906,0.0
159530,机器人ETF易方达,2026-01-08,1.594,1.62,1.621,1.593,583261702.0,940323874.051,1.62,,,,,,,1.5037593984962419,0.02400000000000002,0.0
159530,机器人ETF易方达,2026-01-09,1.62,1.649,1.664,1.617,614233299.0,1010270480.093,1.649,,,,,,,1.7901234567901179,0.028999999999999915,0.0
159530,机器人ETF易方达,2026-01-12,1.65,1.7,1.702,1.641,708240779.0,1184362238.367,1.7,,,,,,,3.0927835051546353,0.050999999999999934,0.0
159530,机器人ETF易方达,2026-01-13,1.697,1.658,1.706,1.651,656972013.0,1100667727.784,1.658,,,,,,,-2.47058823529412,-0.04200000000000004,0.0
159530,机器人ETF易方达,2026-01-14,1.66,1.642,1.694,1.621,724228320.0,1202265725.491,1.642,,,,,,,-0.9650180940892652,-0.016000000000000014,0.0
159530,机器人ETF易方达,2026-01-15,1.623,1.627,1.644,1.611,458199738.0,745018852.775,1.627,,,,,,,-0.9135200974421378,-0.014999999999999902,0.0
159530,机器人ETF易方达,2026-01-16,1.636,1.678,1.691,1.636,728262142.0,1215517537.018,1.678,,,,,,,3.1346035648432657,0.050999999999999934,0.0
159530,机器人ETF易方达,2026-01-19,1.694,1.685,1.707,1.67,638448155.0,1078078053.148,1.685,,,,,,,0.41716328963051946,0.007000000000000117,0.0
159530,机器人ETF易方达,2026-01-20,1.685,1.66,1.706,1.647,626977930.0,1047928340.403,1.66,,,,,,,-1.4836795252225599,-0.025000000000000133,0.0
159530,机器人ETF易方达,2026-01-21,1.649,1.675,1.686,1.646,417236782.0,697729904.02,1.675,,,,,,,0.9036144578313329,0.015000000000000124,0.0
159530,机器人ETF易方达,2026-01-22,1.68,1.668,1.695,1.661,445447841.0,745693987.615,1.668,,,,,,,-0.417910447761201,-0.007000000000000117,0.0
159530,机器人ETF易方达,2026-01-23,1.674,1.695,1.696,1.668,499193011.0,842123098.694,1.695,,,,,,,1.6187050359712314,0.027000000000000135,0.0
159530,机器人ETF易方达,2026-01-26,1.711,1.626,1.726,1.624,896043497.0,1478960332.771,1.626,,,,,,,-4.070796460177002,-0.06900000000000017,0.0
159530,机器人ETF易方达,2026-01-27,1.617,1.629,1.637,1.574,698509680.0,1118873220.387,1.629,,,,,,,0.18450184501845718,0.0030000000000001137,0.0
159530,机器人ETF易方达,2026-01-28,1.624,1.599,1.624,1.59,542579919.0,868646738.062,1.599,,,,,,,-1.8416206261510144,-0.030000000000000027,0.0
159530,机器人ETF易方达,2026-01-29,1.592,1.571,1.612,1.569,523094348.0,831586982.092,1.571,,,,,,,-1.751094434021265,-0.028000000000000025,0.0
159530,机器人ETF易方达,2026-01-30,1.565,1.563,1.586,1.522,544408442.0,845196510.263,1.563,,,,,,,-0.5092297899427122,-0.008000000000000007,0.0
159530,机器人ETF易方达,2026-02-02,1.552,1.533,1.577,1.53,450240150.0,699841118.5,1.533,,,,,,,-1.9193857965451075,-0.030000000000000027,0.0
159530,机器人ETF易方达,2026-02-03,1.547,1.575,1.575,1.535,430555197.0,671148126.734,1.575,,,,,,,2.739726027397263,0.04200000000000004,0.0
159530,机器人ETF易方达,2026-02-04,1.567,1.568,1.571,1.55,336611625.0,525457760.42,1.568,,,,,,,-0.44444444444443776,-0.006999999999999895,0.0
159530,机器人ETF易方达,2026-02-05,1.555,1.535,1.561,1.532,315345700.0,486016516.3,1.535,,,,,,,-2.104591836734703,-0.03300000000000014,0.0
159530,机器人ETF易方达,2026-02-06,1.524,1.562,1.581,1.513,527433368.0,821513002.272,1.562,,,,,,,1.758957654723136,0.027000000000000135,0.0
159530,机器人ETF易方达,2026-02-09,1.579,1.586,1.587,1.566,398106777.0,628172479.991,1.586,,,,,,,1.5364916773367492,0.02400000000000002,0.0
159530,机器人ETF易方达,2026-02-10,1.587,1.599,1.606,1.582,411804500.0,656774034.4,1.599,,,,,,,0.8196721311475346,0.0129999999999999,0.0
159530,机器人ETF易方达,2026-02-11,1.595,1.581,1.601,1.58,282074294.0,447906252.954,1.581,,,,,,,-1.125703564727956,-0.018000000000000016,0.0
159530,机器人ETF易方达,2026-02-12,1.581,1.595,1.598,1.58,288640861.0,459454526.041,1.595,,,,,,,0.8855154965211899,0.014000000000000012,0.0
159530,机器人ETF易方达,2026-02-13,1.587,1.604,1.61,1.583,431092000.0,690931282.8,1.604,,,,,,,0.56426332288402,0.009000000000000119,0.0
159530,机器人ETF易方达,2026-02-24,1.638,1.592,1.644,1.586,529834365.0,849119063.273,1.592,,,,,,,-0.7481296758104744,-0.01200000000000001,0.0
159530,机器人ETF易方达,2026-02-25,1.59,1.593,1.6,1.578,421694000.0,669599260.0,1.593,,,,,,,0.06281407035175188,0.0009999999999998899,0.0
159530,机器人ETF易方达,2026-02-26,1.593,1.583,1.593,1.574,398682659.0,630576252.264,1.583,,,,,,,-0.6277463904582554,-0.010000000000000009,0.0
159530,机器人ETF易方达,2026-02-27,1.578,1.572,1.578,1.565,506024854.0,794512600.77,1.572,,,,,,,-0.6948831332912129,-0.010999999999999899,0.0
159530,机器人ETF易方达,2026-03-02,1.552,1.53,1.554,1.523,475663939.0,731093820.641,1.53,,,,,,,-2.671755725190842,-0.04200000000000004,0.0
159530,机器人ETF易方达,2026-03-03,1.53,1.453,1.538,1.45,660362715.0,982312555.224,1.453,,,,,,,-5.032679738562089,-0.07699999999999996,0.0
159530,机器人ETF易方达,2026-03-04,1.43,1.448,1.467,1.43,449421718.0,651640083.729,1.448,,,,,,,-0.3441156228492853,-0.0050000000000001155,0.0
159530,机器人ETF易方达,2026-03-05,1.47,1.464,1.479,1.456,277950883.0,408194848.507,1.464,,,,,,,1.1049723756906087,0.016000000000000014,0.0
159530,机器人ETF易方达,2026-03-06,1.46,1.48,1.486,1.458,256802260.0,379221145.335,1.48,,,,,,,1.092896174863389,0.016000000000000014,0.0
159530,机器人ETF易方达,2026-03-09,1.447,1.466,1.475,1.424,395843868.0,572392871.267,1.466,,,,,,,-0.9459459459459468,-0.014000000000000012,0.0
159530,机器人ETF易方达,2026-03-10,1.48,1.506,1.507,1.479,367524958.0,549679800.07,1.506,,,,,,,2.7285129604365648,0.040000000000000036,0.0
159530,机器人ETF易方达,2026-03-11,1.508,1.505,1.521,1.502,283050321.0,427859584.643,1.505,,,,,,,-0.06640106241700611,-0.001000000000000112,0.0
159530,机器人ETF易方达,2026-03-12,1.5,1.485,1.507,1.476,271274611.0,403592980.51,1.485,,,,,,,-1.3289036544850363,-0.019999999999999796,0.0
159530,机器人ETF易方达,2026-03-13,1.476,1.462,1.486,1.457,221618996.0,326333689.86,1.462,,,,,,,-1.5488215488215575,-0.02300000000000013,0.0
159530,机器人ETF易方达,2026-03-16,1.457,1.465,1.465,1.44,281050366.0,407749946.286,1.465,,,,,,,0.20519835841314046,0.0030000000000001137,0.0
159530,机器人ETF易方达,2026-03-17,1.471,1.44,1.475,1.44,314780933.0,459170615.454,1.44,,,,,,,-1.7064846416382344,-0.025000000000000133,0.0
159530,机器人ETF易方达,2026-03-18,1.439,1.45,1.45,1.431,240363620.0,346534223.75,1.45,,,,,,,0.6944444444444451,0.010000000000000009,0.0
159530,机器人ETF易方达,2026-03-19,1.427,1.412,1.435,1.407,357631627.0,508304831.481,1.412,,,,,,,-2.6206896551724164,-0.038000000000000034,0.0
159530,机器人ETF易方达,2026-03-20,1.414,1.385,1.423,1.385,258872696.0,363980079.377,1.385,,,,,,,-1.9121813031161412,-0.026999999999999913,0.0
159530,机器人ETF易方达,2026-03-23,1.376,1.344,1.403,1.336,499481524.0,686623524.603,1.344,,,,,,,-2.9602888086642545,-0.040999999999999925,0.0
159530,机器人ETF易方达,2026-03-24,1.364,1.361,1.369,1.322,313985987.0,421735110.377,1.361,,,,,,,1.264880952380945,0.016999999999999904,0.0
159530,机器人ETF易方达,2026-03-25,1.367,1.385,1.39,1.363,407716513.0,562919585.529,1.385,,,,,,,1.7634092578986054,0.02400000000000002,0.0
159530,机器人ETF易方达,2026-03-26,1.386,1.375,1.404,1.37,243944461.0,338426154.503,1.375,,,,,,,-0.7220216606498201,-0.010000000000000009,0.0
159530,机器人ETF易方达,2026-03-27,1.351,1.38,1.388,1.351,223771900.0,307269932.6,1.38,,,,,,,0.3636363636363559,0.004999999999999893,0.0
159530,机器人ETF易方达,2026-03-30,1.36,1.377,1.38,1.354,166887059.0,228114525.64,1.377,,,,,,,-0.21739130434781823,-0.0029999999999998916,0.0
159530,机器人ETF易方达,2026-03-31,1.377,1.361,1.395,1.36,263279600.0,362087135.2,1.361,,,,,,,-1.1619462599854766,-0.016000000000000014,0.0
159530,机器人ETF易方达,2026-04-01,1.386,1.397,1.398,1.38,275959007.0,383604780.172,1.397,,,,,,,2.6451138868479083,0.03600000000000003,0.0
159530,机器人ETF易方达,2026-04-02,1.389,1.363,1.395,1.358,266130190.0,365589225.947,1.363,,,,,,,-2.4337866857551917,-0.03400000000000003,0.0
159530,机器人ETF易方达,2026-04-03,1.363,1.344,1.37,1.341,184808033.0,249568737.806,1.344,,,,,,,-1.3939838591342557,-0.018999999999999906,0.0
