strategy,date,total_value,cash,market_value,principal_invested,margin_used,return_on_principal_cap,drawdown_from_strategy_high,weight_159530,weight_159994,weight_515260,weight_159516,weight_159538
triggered_plan,2026-07-03,400000.0,240000.0,160000.0,160000.0,0.0,0.0,0.0,0.3,0.25,0.2,0.15,0.1
triggered_plan_with_margin,2026-07-03,400000.0,240000.0,160000.0,160000.0,0.0,0.0,0.0,0.3,0.25,0.2,0.15,0.1
enhanced_overheat_plan,2026-07-03,400000.0,326000.0,74000.0,74000.0,0.0,0.0,0.0,0.324324,0.27027,0.216216,0.081081,0.108108
monthly_dca,2026-07-03,400000.0,240000.0,160000.0,160000.0,0.0,0.0,0.0,0.3,0.25,0.2,0.15,0.1
one_shot_full,2026-07-03,400000.0,0.0,400000.0,400000.0,0.0,0.0,0.0,0.3,0.25,0.2,0.15,0.1
