strategy,trade_date,action_type,trigger_type,etf_code,etf_name,price,amount,principal_cap,total_principal_invested_after_trade,notes
one_shot_full_cash,2026-07-03,buy,one_shot_remaining_60pct_benchmark,159516,半导体设备材料ETF国泰,1.73,36000.0,400000,376000.0,按目标权重买入
one_shot_full_cash,2026-07-03,buy,one_shot_remaining_60pct_benchmark,159538,信创ETF富国,2.269,24000.0,400000,400000.0,按目标权重买入
one_shot_full_margin,2026-07-03,buy,initial_40pct_build,159530,机器人ETF易方达,1.776,48000.0,400000,48000.0,按目标权重买入
one_shot_full_margin,2026-07-03,buy,initial_40pct_build,159994,通信ETF银华,1.519,40000.0,400000,88000.0,按目标权重买入
one_shot_full_margin,2026-07-03,buy,initial_40pct_build,515260,电子ETF华宝,1.039,32000.0,400000,120000.0,按目标权重买入
one_shot_full_margin,2026-07-03,buy,initial_40pct_build,159516,半导体设备材料ETF国泰,1.73,24000.0,400000,144000.0,按目标权重买入
one_shot_full_margin,2026-07-03,buy,initial_40pct_build,159538,信创ETF富国,2.269,16000.0,400000,160000.0,按目标权重买入
one_shot_full_margin,2026-07-03,buy,one_shot_remaining_60pct_benchmark,159530,机器人ETF易方达,1.776,72000.0,400000,232000.0,按目标权重买入
one_shot_full_margin,2026-07-03,buy,one_shot_remaining_60pct_benchmark,159994,通信ETF银华,1.519,60000.0,400000,292000.0,按目标权重买入
one_shot_full_margin,2026-07-03,buy,one_shot_remaining_60pct_benchmark,515260,电子ETF华宝,1.039,48000.0,400000,340000.0,按目标权重买入
one_shot_full_margin,2026-07-03,buy,one_shot_remaining_60pct_benchmark,159516,半导体设备材料ETF国泰,1.73,36000.0,400000,376000.0,按目标权重买入
one_shot_full_margin,2026-07-03,buy,one_shot_remaining_60pct_benchmark,159538,信创ETF富国,2.269,24000.0,400000,400000.0,按目标权重买入
