transaction_date,campaign_type,symbol,author_price,amount,daily_low,daily_high,range_valid,future_3d_low,gap_to_future_low_pct,near_low_0_5,near_low_1,near_low_2,episode_range_percentile,stage_high_proxy,prior_20d_high,future_20d_low,future_20d_drawdown_pct,stage_high_20d_proxy,d1_open,d1_vs_author_pct,d4_open,d4_vs_author_pct,atr14,limit_0_5atr_filled,limit_1atr_filled,staged_price,staged_vs_author_pct
2023-08-03,initial,VNQ,83.81,74265.61,82.589996,83.830002,True,82.730003,1.3054,False,False,True,0.7439,True,87.32,79.040001,6.0349,False,83.489998,-0.3818,83.260002,-0.6562,1.222857,True,False,83.302143,-0.606
2023-08-03,initial,RSP,152.2,74587.95,151.440002,152.539993,True,150.399994,1.1968,False,False,True,0.6593,False,155.770004,145.919998,4.3037,False,152.350006,0.0986,151.979996,-0.1445,1.242145,True,True,151.716696,-0.3175
2023-08-03,initial,IWY,159.38,74440.41,159.360001,160.830002,True,158.75,0.3969,True,True,True,0.2019,False,165.410004,153.139999,4.0747,False,161.100006,1.0792,160.139999,0.4768,2.062145,False,False,160.380001,0.6274
2023-08-03,initial,MOAT,81.25,74434.95,80.760002,81.360001,True,79.790001,1.8298,False,False,True,0.7487,True,83.870003,77.010002,5.5058,False,81.269997,0.0246,80.660004,-0.7261,0.83,True,True,80.79625,-0.5585
2023-08-03,initial,PFF,30.58,74563.99,30.43,30.629999,True,30.540001,0.131,True,True,True,0.3659,False,31.299999,29.92,2.2059,False,30.549999,-0.0981,30.77,0.6213,0.248571,False,False,30.715,0.4415
2023-09-25,recurring,PFF,30.26,1220.35,30.1,30.27,True,29.85,1.3735,False,False,True,0.9762,True,30.809999,28.15,7.4956,True,30.219999,-0.1322,30.25,-0.033,0.179286,True,True,30.180268,-0.2635
2023-09-25,recurring,MOAT,76.04,1226.59,75.68,76.120003,True,74.470001,2.1082,False,False,False,0.9515,True,80.870003,72.889999,4.3216,False,75.620003,-0.5523,76.290001,0.3288,0.687143,True,True,75.739822,-0.3948
2023-09-25,recurring,IWY,155.33,1252.59,153.990005,155.600006,True,151.169998,2.7519,False,False,False,0.9391,True,164.360001,151.169998,2.7519,False,154.190002,-0.7339,155.330002,0.0,2.019286,True,True,154.287769,-0.671
2023-09-25,recurring,VNQ,77.32,1247.06,76.790001,77.440002,True,74.849998,3.2999,False,False,False,0.9537,True,83.209999,71.489998,8.155,False,76.910004,-0.5303,76.440002,-1.1381,1.074286,True,True,76.594644,-0.9381
2023-09-25,recurring,RSP,143.01,1154.03,142.050003,143.080002,True,140.139999,2.048,False,False,False,0.9762,True,151.169998,135.889999,5.2395,False,142.25,-0.5314,142.990005,-0.014,1.312141,True,True,142.322948,-0.4804
2023-10-27,recurring,RSP,133.99,2019.79,133.339996,135.559998,True,133.539993,0.337,True,True,True,0.2031,False,143.5,133.539993,0.337,False,134.509995,0.3881,137.429993,2.5674,1.960715,False,False,136.699993,2.0225
2023-10-27,recurring,IWY,149.65,1955.39,149.050003,150.979996,True,150.759995,-0.7363,True,True,True,0.0982,False,161.300003,150.759995,-0.7363,False,150.919998,0.8486,156.869995,4.8246,2.546428,False,False,155.382496,3.8306
2023-10-27,recurring,PFF,28.42,1999.2,28.379999,28.66,True,28.379999,0.1409,True,True,True,0.0714,False,29.959999,28.379999,0.1409,False,28.51,0.3167,29.209999,2.7797,0.301429,False,False,29.034999,2.164
2023-10-27,recurring,VNQ,71.1,2000.63,71.010002,72.68,True,70.610001,0.694,False,True,True,0.1731,False,77.279999,70.610001,0.694,False,71.68,0.8158,74.599998,4.9226,1.463572,False,False,73.869999,3.8959
2023-10-27,recurring,MOAT,70.93,1995.97,70.559998,71.699997,True,70.690002,0.3395,True,True,True,0.2139,False,76.639999,70.690002,0.3395,False,71.150002,0.3102,72.68,2.4672,1.147143,False,False,72.297501,1.928
2024-01-11,recurring,IWY,175.31,1938.36,174.940002,177.919998,True,174.630005,0.3894,True,True,True,0.2067,False,177.919998,174.630005,0.3894,False,177.059998,0.9982,177.449997,1.2207,1.917142,False,False,177.352497,1.1651
2024-01-11,recurring,MOAT,83.1,2004.35,82.970001,83.860001,True,82.059998,1.2674,False,False,True,0.4388,False,85.389999,82.059998,1.2674,False,84.129997,1.2395,82.809998,-0.349,0.812857,True,True,82.980177,-0.1442
2024-01-11,recurring,VNQ,86.26,1993.9,86.050003,87.18,True,83.989998,2.7027,False,False,False,0.6119,False,90.089996,82.330002,4.7735,False,87.419998,1.3448,84.980003,-1.4839,1.257143,True,True,85.758572,-0.5813
2024-01-11,recurring,PFF,31.42,2020.82,31.4,31.549999,True,31.299999,0.3834,True,True,True,0.375,False,31.58,31.129999,0.9316,False,31.57,0.4774,31.4,-0.0637,0.197143,True,False,31.422857,0.0091
2024-01-11,recurring,RSP,155.25,2028.16,155.160004,156.830002,True,153.100006,1.4043,False,False,True,0.5023,False,158.600006,153.100006,1.4043,False,157.139999,1.2174,154.029999,-0.7858,1.437859,True,True,154.878303,-0.2394
2024-01-31,recurring,IWY,181.22,2003.35,180.220001,183.110001,True,181.130005,0.0497,True,True,True,0.1376,False,185.139999,181.130005,0.0497,False,181.179993,-0.0221,187.449997,3.4378,2.031428,False,False,185.882496,2.5728
2024-01-31,recurring,PFF,32.13,2001.85,32.060001,32.189999,True,31.6,1.6772,False,False,True,0.8983,True,32.220001,31.559999,1.8061,False,31.98,-0.4669,31.65,-1.4939,0.183571,True,True,31.903661,-0.7044
2024-01-31,recurring,RSP,158.24,2067.07,156.380005,158.589996,True,155.789993,1.5726,False,False,True,0.7853,True,158.839996,155.789993,1.5726,False,156.789993,-0.9163,156.949997,-0.8152,1.575712,True,True,156.964106,-0.8063
2024-01-31,recurring,MOAT,84.53,2038.62,83.300003,84.82,True,83.239998,1.5497,False,False,True,0.7866,True,85.389999,83.239998,1.5497,False,83.980003,-0.6507,83.93,-0.7098,0.898572,True,True,83.905536,-0.7387
2024-01-31,recurring,VNQ,85.5,1976.35,83.730003,85.629997,True,82.330002,3.8504,False,False,False,0.9606,True,88.419998,81.540001,4.8565,False,83.800003,-1.9883,82.709999,-3.2632,1.452856,True,True,83.83268,-1.9501
2024-02-13,recurring,MOAT,85.1,2052.35,84.059998,85.209999,True,84.690002,0.4841,True,True,True,0.4351,False,86.400002,84.690002,0.4841,False,85.129997,0.0352,85.650002,0.6463,0.95,False,False,85.52,0.4935
2024-02-13,recurring,PFF,31.77,2011.15,31.559999,31.84,True,31.68,0.2841,True,True,True,0.5122,False,32.220001,31.68,0.2841,False,31.68,-0.2833,31.75,-0.063,0.243571,False,False,31.7325,-0.118
2024-02-13,recurring,VNQ,82.0,2059.95,81.540001,82.68,True,82.620003,-0.7504,True,True,True,0.1211,False,86.739998,82.620003,-0.7504,False,83.019997,1.2439,83.879997,2.2927,1.507142,False,False,83.664997,2.0305
2024-02-13,recurring,RSP,158.13,2065.64,156.160004,158.210007,True,157.589996,0.3427,True,True,True,0.3996,False,160.529999,157.589996,0.3427,False,158.149994,0.0126,159.300003,0.7399,1.663571,False,False,159.012501,0.5581
2024-02-13,recurring,IWY,187.15,2068.61,186.550003,189.009995,True,187.899994,-0.3991,True,True,True,0.1613,False,191.960007,184.809998,1.2662,False,189.119995,1.0526,187.710007,0.2992,2.327143,False,False,188.062504,0.4876
2024-03-05,recurring,PFF,31.91,2019.97,31.790001,31.959999,True,31.969999,-0.1877,True,True,True,0.24,False,32.23,31.76,0.4723,False,32.009998,0.3134,32.259998,1.0968,0.205714,False,False,32.197498,0.901
2024-03-05,recurring,IWY,189.67,2096.32,189.289993,192.289993,True,190.300003,-0.3311,True,True,True,0.0592,False,194.610001,190.0,-0.1737,False,191.869995,1.1599,190.979996,0.6907,2.33929,False,False,191.202496,0.808
2024-03-05,recurring,RSP,163.21,1968.43,162.869995,164.669998,True,163.899994,-0.421,True,True,True,0.0883,False,164.699997,163.660004,-0.275,False,164.369995,0.7107,165.160004,1.1948,1.291428,False,False,164.962502,1.0738
2024-03-05,recurring,VNQ,86.11,2076.58,85.919998,87.540001,True,86.239998,-0.1507,True,True,True,0.09,False,87.540001,83.410004,3.237,False,86.879997,0.8942,87.540001,1.6607,1.327856,False,False,87.375,1.4691
2024-03-05,recurring,MOAT,86.32,2081.63,86.209999,87.150002,True,86.779999,-0.5301,True,True,True,0.0478,False,87.440002,86.779999,-0.5301,False,86.889999,0.6603,87.779999,1.6914,0.72143,False,False,87.557499,1.4336
2024-04-02,recurring,IWY,192.63,1936.25,192.369995,193.929993,True,191.410004,0.6374,False,True,True,0.2495,False,197.899994,182.979996,5.2738,False,193.080002,0.2336,194.600006,1.0227,2.10786,True,False,193.464021,0.433
2024-04-02,recurring,PFF,31.92,2020.73,31.77,31.99,True,31.76,0.5038,False,True,True,0.3636,False,32.66,30.559999,4.4503,False,31.809999,-0.3446,31.99,0.2193,0.234285,True,False,31.898214,-0.0683
2024-04-02,recurring,RSP,166.83,2011.91,166.429993,167.509995,True,165.009995,1.103,False,False,True,0.5112,False,169.800003,158.830002,5.0368,True,166.710007,-0.0719,166.630005,-0.1199,1.497858,True,True,166.188306,-0.3846
2024-04-02,recurring,VNQ,84.06,2027.3,83.629997,84.440002,True,83.010002,1.2649,False,False,True,0.493,False,88.07,78.269997,7.3975,False,83.760002,-0.3569,84.209999,0.1784,1.290712,True,False,83.898661,-0.1919
2024-04-02,recurring,MOAT,88.31,2129.36,88.089996,88.730003,True,87.07,1.4241,False,False,True,0.7251,True,90.139999,83.629997,5.5961,False,88.110001,-0.2265,87.849998,-0.5209,0.844286,True,True,87.828392,-0.5454
2024-04-19,recurring,PFF,30.89,2017.77,30.73,30.940001,True,30.860001,0.0972,True,True,True,0.2388,False,32.66,30.860001,0.0972,False,30.879999,-0.0324,31.07,0.5827,0.293571,False,False,31.0225,0.4289
2024-04-19,recurring,IWY,184.43,2038.67,182.979996,187.210007,True,183.25,0.6439,False,True,True,0.2221,False,197.330002,183.25,0.6439,False,184.720001,0.1572,183.779999,-0.3524,3.132857,False,False,184.014999,-0.225
2024-04-19,recurring,RSP,159.73,2086.38,159.309998,160.339996,True,159.619995,0.0689,True,True,True,0.1186,False,169.800003,159.619995,0.0689,False,160.509995,0.4883,161.960007,1.3961,2.042144,False,False,161.597504,1.1692
2024-04-19,recurring,VNQ,78.92,1982.95,78.629997,79.349998,True,78.760002,0.2031,True,True,True,0.1362,False,86.769997,78.760002,0.2031,False,79.300003,0.4815,79.779999,1.0897,1.44,False,False,79.66,0.9377
2024-04-19,recurring,MOAT,84.15,2029.49,83.959999,84.5,True,84.309998,-0.1898,True,True,True,0.0974,False,90.139999,84.309998,-0.1898,False,84.809998,0.7843,85.519997,1.628,1.09286,False,False,85.342497,1.4171
2024-05-17,recurring,MOAT,89.53,1979.61,89.370003,89.720001,True,89.110001,0.4713,True,True,True,0.525,False,89.860001,85.160004,5.1315,True,89.709999,0.201,89.540001,0.0112,0.739999,True,False,89.4875,-0.0475
2024-05-17,recurring,VNQ,84.92,1963.03,84.580002,85.099998,True,83.349998,1.8836,False,False,True,0.8971,True,85.419998,80.169998,5.9249,True,84.720001,-0.2355,83.599998,-1.5544,1.169285,True,True,84.101518,-0.9638
2024-05-17,recurring,RSP,167.84,2024.03,167.550003,168.130005,True,166.75,0.6537,False,True,True,0.6337,False,168.389999,162.679993,3.1719,False,168.190002,0.2085,167.490005,-0.2085,1.360717,True,False,167.582414,-0.1535
2024-05-17,recurring,IWY,199.57,2005.65,198.850006,200.020004,True,199.649994,-0.0401,True,True,True,0.2667,False,201.089996,196.399994,1.6141,False,199.649994,0.0401,202.850006,1.6435,2.186426,False,False,202.050003,1.2427
2024-05-17,recurring,PFF,31.57,1998.67,31.540001,31.66,True,31.48,0.2859,True,True,True,0.3214,False,31.82,31.17,1.2833,False,31.639999,0.2217,31.59,0.0634,0.244285,False,False,31.6025,0.1029
2024-06-21,recurring,RSP,165.35,1994.15,164.619995,165.699997,True,163.410004,1.1872,False,False,True,0.6139,False,167.5,162.729996,1.61,False,165.289993,-0.0363,163.960007,-0.8406,1.513569,True,True,164.419911,-0.5625
2024-06-21,recurring,IWY,214.34,1939.01,213.460007,215.309998,True,211.669998,1.2614,False,False,True,0.6268,False,217.229996,211.669998,1.2614,False,213.449997,-0.4152,215.779999,0.6718,2.371427,True,True,213.588214,-0.3507
2024-06-21,recurring,MOAT,86.93,2009.34,86.43,87.120003,True,86.360001,0.66,False,True,True,0.3585,False,89.690002,85.669998,1.4708,False,87.150002,0.2531,86.900002,-0.0345,0.764999,True,False,86.874376,-0.064
2024-06-21,recurring,PFF,31.54,1996.88,31.459999,31.639999,True,31.540001,-0.0,True,True,True,0.3478,False,31.84,31.110001,1.3822,False,31.540001,0.0,31.65,0.3488,0.19,False,False,31.6225,0.2616
2024-06-21,recurring,VNQ,83.93,1940.33,83.400002,84.150002,True,82.839996,1.3158,False,False,True,0.416,False,85.339996,82.470001,1.7703,False,84.010002,0.0953,83.449997,-0.5719,1.043571,True,True,83.438661,-0.5854
2024-07-11,recurring,RSP,167.15,1514.26,165.809998,167.380005,True,167.729996,-0.3458,True,True,True,0.2271,False,167.380005,161.800003,3.3065,False,167.820007,0.4008,170.809998,2.1896,1.372858,False,False,170.0625,1.7424
2024-07-11,recurring,IWY,220.1,1550.65,219.880005,225.809998,True,220.440002,-0.1542,True,True,True,0.0371,False,226.110001,187.809998,17.1929,False,220.710007,0.2771,217.699997,-1.0904,2.642144,False,False,218.452499,-0.7485
2024-07-11,recurring,PFF,31.84,1474.59,31.66,31.92,True,31.84,-0.0,True,True,True,0.4737,False,31.92,30.879999,3.1088,False,31.959999,0.3769,31.92,0.2513,0.212143,False,False,31.93,0.2827
2024-07-11,recurring,MOAT,87.51,1497.62,86.68,87.699997,True,87.660004,-0.1711,True,True,True,0.2954,False,87.949997,86.970001,0.6209,False,87.660004,0.1714,89.110001,1.8284,0.728572,False,False,88.747501,1.4141
2024-07-11,recurring,VNQ,86.81,1485.68,85.459999,87.099998,True,87.139999,-0.3787,True,True,True,0.3649,False,87.099998,87.139999,-0.3787,False,87.5,0.7948,89.019997,2.5458,1.080716,False,False,88.639997,2.108
2024-08-01,rebalance,RSP,169.24,3056.27,168.779999,172.710007,True,161.800003,4.5983,False,False,False,0.6819,True,173.080002,161.800003,4.5983,False,168.229996,-0.5968,166.080002,-1.8672,2.183571,True,True,167.37866,-1.0998
2024-08-01,rebalance,PFF,31.64,10387.02,31.52,31.700001,True,30.879999,2.4611,False,False,False,0.9268,True,32.040001,30.879999,2.4611,False,31.57,-0.2212,31.48,-0.5057,0.180714,True,True,31.514732,-0.3959
2024-08-01,rebalance,VNQ,91.0,4923.93,90.470001,91.82,True,88.269997,3.0928,False,False,False,0.7073,True,91.82,88.269997,3.0928,False,91.099998,0.1099,90.809998,-0.2088,1.380714,True,True,90.459731,-0.5937
2024-08-01,rebalance,MOAT,90.07,3432.61,89.860001,91.699997,True,86.970001,3.5644,False,False,False,0.6554,False,92.120003,86.970001,3.5644,False,89.75,-0.3553,88.830002,-1.3767,1.174286,True,True,89.239643,-0.9219
2024-08-05,recurring,PFF,31.26,2010.27,30.879999,31.34,True,31.129999,0.4176,True,True,True,0.4872,False,32.040001,31.129999,0.4176,False,31.27,0.032,31.610001,1.1196,0.232857,True,False,31.408393,0.4747
2024-08-05,recurring,MOAT,87.35,2019.0,86.970001,88.209999,True,87.57,-0.2512,True,True,True,0.1479,False,92.120003,87.57,-0.2512,False,87.739998,0.4465,89.07,1.9691,1.357143,False,False,88.737499,1.5884
2024-08-05,recurring,IWY,194.12,1951.14,187.809998,197.759995,True,193.979996,0.0722,True,True,True,0.4741,False,226.110001,193.979996,0.0722,False,195.899994,0.917,200.470001,3.2712,5.971426,False,False,199.327499,2.6826
2024-08-05,recurring,VNQ,89.16,1971.47,88.419998,91.019997,True,88.269997,1.0083,False,False,True,0.2486,False,92.129997,88.269997,1.0083,False,88.639999,-0.5832,91.019997,2.0861,1.568571,True,False,89.763927,0.6774
2024-08-05,recurring,RSP,162.94,1965.23,161.800003,164.589996,True,163.009995,-0.0429,True,True,True,0.2201,False,173.080002,163.009995,-0.0429,False,163.339996,0.2455,166.440002,2.148,2.560714,False,False,165.665001,1.6724
2024-09-03,recurring,PFF,32.14,2002.42,32.080002,32.279999,True,32.130001,0.0311,True,True,True,0.1224,False,32.57,32.130001,0.0311,False,32.130001,-0.0311,32.41,0.8401,0.170715,False,False,32.34,0.6223
2024-09-03,recurring,IWY,209.16,2101.55,206.800003,213.0,True,202.270004,3.4063,False,False,False,0.6421,False,218.160004,202.270004,3.4063,False,206.300003,-1.3674,204.600006,-2.1801,3.529288,True,True,205.981519,-1.5196
2024-09-03,recurring,VNQ,95.24,2009.99,94.489998,95.5,True,94.190002,1.1148,False,False,True,0.5147,False,95.5,94.190002,1.1148,False,95.32,0.084,94.959999,-0.294,0.964286,True,True,94.828393,-0.4322
2024-09-03,recurring,MOAT,94.81,2095.76,94.099998,95.279999,True,93.0,1.9462,False,False,True,0.7939,True,95.419998,92.120003,2.9201,False,94.260002,-0.5801,93.470001,-1.4134,0.850715,True,True,94.018483,-0.8348
2024-09-03,recurring,RSP,174.2,2100.35,172.910004,175.399994,True,170.220001,2.3381,False,False,False,0.7683,True,175.960007,168.789993,3.2052,False,173.440002,-0.4363,171.509995,-1.5442,1.617857,True,True,172.730803,-0.8434
2024-10-01,recurring,MOAT,96.12,2028.43,95.769997,96.910004,True,95.199997,0.9664,False,True,True,0.538,False,97.459999,95.160004,1.0088,False,95.949997,-0.1769,95.82,-0.3121,0.964286,True,False,95.806963,-0.3257
2024-10-01,recurring,VNQ,96.69,2040.42,96.360001,97.800003,True,94.239998,2.5997,False,False,False,0.6882,True,99.580002,93.43,3.4892,False,95.989998,-0.724,94.589996,-2.1719,1.175001,True,True,95.549373,-1.1797
2024-10-01,recurring,RSP,178.38,1972.13,177.270004,179.169998,True,176.570007,1.0251,False,False,True,0.6962,True,179.940002,176.419998,1.111,False,177.729996,-0.3644,178.020004,-0.2018,1.729286,True,True,177.479018,-0.5051
2024-10-01,recurring,IWY,216.03,1954.21,215.330002,219.889999,True,214.929993,0.5118,False,True,True,0.2218,False,222.110001,214.929993,0.5118,False,216.289993,0.1204,218.520004,1.1526,2.802858,False,False,217.962502,0.8946
2024-10-01,recurring,PFF,33.17,2033.02,33.02,33.279999,True,33.09,0.2418,True,True,True,0.4286,False,33.59,32.709999,1.4063,False,33.169998,-0.0,33.110001,-0.1809,0.226428,False,False,33.125,-0.1357
2024-11-15,recurring,PFF,32.54,2027.37,32.5,32.610001,True,32.310001,0.7118,False,True,True,0.6053,False,33.360001,32.060001,1.4972,False,32.549999,0.0307,32.400002,-0.4302,0.261428,True,False,32.439822,-0.3079
2024-11-15,recurring,IWY,226.58,2049.21,224.669998,228.440002,True,225.139999,0.6396,False,True,True,0.4273,False,233.380005,225.139999,0.6396,False,225.75,-0.3663,230.009995,1.5138,3.309287,False,False,228.944996,1.0438
